,URL,Name,Age,Year_Joined,Title
0,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,Eric Schmidt,61,2015,Executive Chairman of the Board of Director
1,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,Sergey Brin,43,2015,"President, Director"
2,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,Lawrence Page,44,2015,"Chief Executive Officer, Director"
3,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,Ruth Porat,59,2015,"Chief Financial Officer, Senior Vice President"
4,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,Sundar Pichai,45,2017,"Director, Chief Executive Officer, Google Inc."
5,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,David Drummond,54,2015,"Senior Vice President - Corporate Development, Chief Legal Officer, Secretary"
6,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,John Hennessy,64,2007,Lead Independent Director
7,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,Diane Greene,61,2015,Director
8,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,L. John Doerr,65,2016,Independent Director
9,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,Roger Ferguson,65,2016,Independent Director
10,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,Ann Mather,57,2005,Independent Director
11,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,Alan Mulally,71,2014,Independent Director
12,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,Paul Otellini,66,2004,Independent Director
13,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,Kavitark Shriram,60,1998,Independent Director
14,http://www.reuters.com/finance/stocks/company-officers/GOOG.O,Shirley Tilghman,70,2005,Independent Director
15,http://www.reuters.com/finance/stocks/company-officers/AMZN,Jeffrey Bezos,53,2000,"Chairman of the Board, President, Chief Executive Officer"
16,http://www.reuters.com/finance/stocks/company-officers/AMZN,Brian Olsavsky,53,2015,"Chief Financial Officer, Senior Vice President"
17,http://www.reuters.com/finance/stocks/company-officers/AMZN,Andrew Jassy,49,2016,Chief Executive Officer of Amazon Web Services
18,http://www.reuters.com/finance/stocks/company-officers/AMZN,Jeffrey Wilke,50,2016,Chief Executive Officer - Worldwide Consumer
19,http://www.reuters.com/finance/stocks/company-officers/AMZN,David Zapolsky,53,2014,"Senior Vice President, General Counsel, Secretary"
20,http://www.reuters.com/finance/stocks/company-officers/AMZN,Jeffrey Blackburn,47,2006,Senior Vice President - Business Development
21,http://www.reuters.com/finance/stocks/company-officers/AMZN,Shelley Reynolds,52,2007,"Vice President, Worldwide Controller, Principal Accounting Officer"
22,http://www.reuters.com/finance/stocks/company-officers/AMZN,Patricia Stonesifer,60,2016,Lead Independent Director
23,http://www.reuters.com/finance/stocks/company-officers/AMZN,Tom Alberg,77,2016,Independent Director
24,http://www.reuters.com/finance/stocks/company-officers/AMZN,John Brown,76,2004,Independent Director
25,http://www.reuters.com/finance/stocks/company-officers/AMZN,Jamie Gorelick,66,2012,Independent Director
26,http://www.reuters.com/finance/stocks/company-officers/AMZN,Daniel Huttenlocher,58,2016,Independent Director
27,http://www.reuters.com/finance/stocks/company-officers/AMZN,Judith McGrath,64,2014,Independent Director
28,http://www.reuters.com/finance/stocks/company-officers/AMZN,Jonathan Rubinstein,60,2010,Independent Director
29,http://www.reuters.com/finance/stocks/company-officers/AMZN,Thomas Ryder,72,2011,Independent Director
30,http://www.reuters.com/finance/stocks/company-officers/AMZN,Wendell Weeks,57,2016,Independent Director
31,http://www.reuters.com/finance/stocks/company-officers/AAPL,Art Levinson,67,2011,Independent Chairman of the Board
32,http://www.reuters.com/finance/stocks/company-officers/AAPL,Timothy Cook,56,2011,"Chief Executive Officer, Director"
33,http://www.reuters.com/finance/stocks/company-officers/AAPL,Luca Maestri,53,2014,"Chief Financial Officer, Senior Vice President, Principal Accounting Officer"
34,http://www.reuters.com/finance/stocks/company-officers/AAPL,Jeff Williams,53,2015,Chief Operating Officer
35,http://www.reuters.com/finance/stocks/company-officers/AAPL,Durward Sewell,58,2009,"Senior Vice President, General Counsel, Secretary"
36,http://www.reuters.com/finance/stocks/company-officers/AAPL,Phil Schiller,56,1997,Senior Vice President - Worldwide Marketing
37,http://www.reuters.com/finance/stocks/company-officers/AAPL,Angela Ahrendts,56,2014,Senior Vice President - Retail and Online Stores
38,http://www.reuters.com/finance/stocks/company-officers/AAPL,Eddy Cue,53,2011,Senior Vice President - Internet Software and Services
39,http://www.reuters.com/finance/stocks/company-officers/AAPL,Craig Federighi,47,2012,Senior Vice President - Software Engineering
40,http://www.reuters.com/finance/stocks/company-officers/AAPL,Daniel Riccio,54,2012,Senior Vice President - Hardware Engineering
41,http://www.reuters.com/finance/stocks/company-officers/AAPL,Johny Srouji,52,2015,Senior Vice President - Hardware Technologies
42,http://www.reuters.com/finance/stocks/company-officers/AAPL,Jonathan Ive,,,Chief Design Officer
43,http://www.reuters.com/finance/stocks/company-officers/AAPL,James Bell,68,2015,Independent Director
44,http://www.reuters.com/finance/stocks/company-officers/AAPL,AI Gore,68,2003,Independent Director
45,http://www.reuters.com/finance/stocks/company-officers/AAPL,Robert Iger,66,2011,Independent Director
46,http://www.reuters.com/finance/stocks/company-officers/AAPL,Andrea Jung,58,2011,Independent Director
47,http://www.reuters.com/finance/stocks/company-officers/AAPL,Ronald Sugar,68,2010,Independent Director
48,http://www.reuters.com/finance/stocks/company-officers/AAPL,Sue Wagner,55,2014,Independent Director
